Accident year,Casualty sex,Casualty age,Weather condition,Accident month,Killed or seriously injured
2022,Female,23,Raining no high winds,February,4
2022,Female,23,Raining no high winds,April,1
2022,Female,23,Raining no high winds,May,2
2022,Female,23,Raining no high winds,September,1
2022,Female,23,Raining no high winds,October,3
2022,Female,23,Raining no high winds,November,5
2022,Female,23,Raining no high winds,December,1
2022,Female,23,Fine + high winds,February,1
2022,Female,23,Raining + high winds,December,1
2022,Female,23,Fog or mist,November,1
2022,Female,23,Fog or mist,December,1
2022,Female,24,Fine no high winds,January,10
2022,Female,24,Fine no high winds,February,8
2022,Female,24,Fine no high winds,March,5
2022,Female,24,Fine no high winds,April,10
2022,Female,24,Fine no high winds,May,12
2022,Female,24,Fine no high winds,June,17
2022,Female,24,Fine no high winds,July,8
2022,Female,24,Fine no high winds,August,6
2022,Female,24,Fine no high winds,September,10
2022,Female,24,Fine no high winds,October,4
2022,Female,24,Fine no high winds,November,8
2022,Female,24,Fine no high winds,December,5
2022,Female,24,Raining no high winds,March,4
2022,Female,24,Raining no high winds,May,1
2022,Female,24,Raining no high winds,June,1
2022,Female,24,Raining no high winds,September,2
2022,Female,24,Raining no high winds,October,5
2022,Female,24,Raining no high winds,November,6
2022,Female,24,Raining no high winds,December,1
2022,Female,24,Snowing no high winds,December,1
2022,Female,24,Fine + high winds,February,1
2022,Female,24,Fine + high winds,September,1
2022,Female,24,Fine + high winds,November,2
2022,Female,24,Fine + high winds,December,1
2022,Female,24,Raining + high winds,February,1
2022,Female,24,Raining + high winds,December,1
2022,Female,24,Fog or mist,March,1
2022,Female,24,Fog or mist,December,1
2022,Female,25,Fine no high winds,January,13
2022,Female,25,Fine no high winds,February,13
2022,Female,25,Fine no high winds,March,7
2022,Female,25,Fine no high winds,April,10
2022,Female,25,Fine no high winds,May,10
2022,Female,25,Fine no high winds,June,14
2022,Female,25,Fine no high winds,July,9
2022,Female,25,Fine no high winds,August,15
2022,Female,25,Fine no high winds,September,12
2022,Female,25,Fine no high winds,October,9
2022,Female,25,Fine no high winds,November,9
2022,Female,25,Fine no high winds,December,11
2022,Female,25,Raining no high winds,May,3
2022,Female,25,Raining no high winds,August,1
2022,Female,25,Raining no high winds,October,2
2022,Female,25,Raining no high winds,November,6
2022,Female,25,Fine + high winds,February,1
2022,Female,25,Fog or mist,January,1
2022,Female,25,Fog or mist,November,1
2022,Female,26,Fine no high winds,January,14
2022,Female,26,Fine no high winds,February,5
2022,Female,26,Fine no high winds,March,9
2022,Female,26,Fine no high winds,April,7
2022,Female,26,Fine no high winds,May,8
2022,Female,26,Fine no high winds,June,9
2022,Female,26,Fine no high winds,July,11
2022,Female,26,Fine no high winds,August,13
2022,Female,26,Fine no high winds,September,9
2022,Female,26,Fine no high winds,October,12
2022,Female,26,Fine no high winds,November,9
2022,Female,26,Fine no high winds,December,8
2022,Female,26,Raining no high winds,January,1
2022,Female,26,Raining no high winds,February,1
2022,Female,26,Raining no high winds,March,3
2022,Female,26,Raining no high winds,May,1
2022,Female,26,Raining no high winds,June,1
2022,Female,26,Raining no high winds,July,1
2022,Female,26,Raining no high winds,August,1
2022,Female,26,Raining no high winds,September,1
2022,Female,26,Raining no high winds,October,3
2022,Female,26,Raining no high winds,November,2
2022,Female,26,Fine + high winds,January,1
2022,Female,26,Fine + high winds,February,2
2022,Female,26,Fine + high winds,April,1
2022,Female,26,Fog or mist,December,1
2022,Female,27,Fine no high winds,January,13
2022,Female,27,Fine no high winds,February,4
2022,Female,27,Fine no high winds,March,5
2022,Female,27,Fine no high winds,April,7
2022,Female,27,Fine no high winds,May,15
2022,Female,27,Fine no high winds,June,11
2022,Female,27,Fine no high winds,July,8
2022,Female,27,Fine no high winds,August,16
2022,Female,27,Fine no high winds,September,4
2022,Female,27,Fine no high winds,October,9
2022,Female,27,Fine no high winds,November,7
2022,Female,27,Fine no high winds,December,7
2022,Female,27,Raining no high winds,January,2
2022,Female,27,Raining no high winds,March,2
2022,Female,27,Raining no high winds,April,2
2022,Female,27,Raining no high winds,June,1
2022,Female,27,Raining no high winds,September,1
2022,Female,27,Raining no high winds,October,7
2022,Female,27,Raining no high winds,November,4
2022,Female,27,Raining no high winds,December,4
2022,Female,27,Snowing no high winds,February,1
2022,Female,27,Snowing no high winds,December,1
2022,Female,27,Fine + high winds,January,1
2022,Female,27,Fine + high winds,October,1
2022,Female,27,Raining + high winds,October,1
2022,Female,27,Raining + high winds,November,1
2022,Female,27,Snowing + high winds,February,1
2022,Female,27,Fog or mist,November,1
2022,Female,28,Fine no high winds,January,11
2022,Female,28,Fine no high winds,February,7
2022,Female,28,Fine no high winds,March,18
2022,Female,28,Fine no high winds,April,7
2022,Female,28,Fine no high winds,May,5
2022,Female,28,Fine no high winds,June,10
2022,Female,28,Fine no high winds,July,10
2022,Female,28,Fine no high winds,August,7
2022,Female,28,Fine no high winds,September,10
2022,Female,28,Fine no high winds,October,8
2022,Female,28,Fine no high winds,November,7
2022,Female,28,Fine no high winds,December,10
2022,Female,28,Raining no high winds,January,1
2022,Female,28,Raining no high winds,February,2
2022,Female,28,Raining no high winds,March,2
2022,Female,28,Raining no high winds,April,1
2022,Female,28,Raining no high winds,August,3
2022,Female,28,Raining no high winds,September,1
2022,Female,28,Raining no high winds,October,1
2022,Female,28,Raining no high winds,November,1
2022,Female,28,Raining no high winds,December,1
2022,Female,28,Fine + high winds,January,2
2022,Female,28,Raining + high winds,January,1
2022,Female,28,Raining + high winds,February,1
2022,Female,28,Fog or mist,November,1
2022,Female,29,Fine no high winds,January,12
2022,Female,29,Fine no high winds,February,8
2022,Female,29,Fine no high winds,March,10
2022,Female,29,Fine no high winds,April,19
2022,Female,29,Fine no high winds,May,11
2022,Female,29,Fine no high winds,June,6
2022,Female,29,Fine no high winds,July,16
2022,Female,29,Fine no high winds,August,7
2022,Female,29,Fine no high winds,September,11
2022,Female,29,Fine no high winds,October,9
2022,Female,29,Fine no high winds,November,10
2022,Female,29,Fine no high winds,December,7
2022,Female,29,Raining no high winds,February,3
2022,Female,29,Raining no high winds,March,1
2022,Female,29,Raining no high winds,April,1
2022,Female,29,Raining no high winds,June,2
2022,Female,29,Raining no high winds,October,2
2022,Female,29,Raining no high winds,November,3
2022,Female,29,Fine + high winds,January,1
2022,Female,29,Fine + high winds,December,1
2022,Female,29,Fog or mist,December,1
2022,Female,30,Fine no high winds,January,6
2022,Female,30,Fine no high winds,February,6
2022,Female,30,Fine no high winds,March,8
2022,Female,30,Fine no high winds,April,9
2022,Female,30,Fine no high winds,May,14
2022,Female,30,Fine no high winds,June,8
2022,Female,30,Fine no high winds,July,15
2022,Female,30,Fine no high winds,August,10
2022,Female,30,Fine no high winds,September,10
2022,Female,30,Fine no high winds,October,10
2022,Female,30,Fine no high winds,November,9
2022,Female,30,Fine no high winds,December,5
2022,Female,30,Raining no high winds,January,2
2022,Female,30,Raining no high winds,March,3
2022,Female,30,Raining no high winds,April,2
2022,Female,30,Raining no high winds,May,1
2022,Female,30,Raining no high winds,September,1
2022,Female,30,Raining no high winds,October,4
2022,Female,30,Raining no high winds,November,3
2022,Female,30,Raining no high winds,December,3
2022,Female,30,Snowing no high winds,December,2
2022,Female,30,Fine + high winds,November,1
2022,Female,30,Fine + high winds,December,1
2022,Female,30,Fog or mist,December,2
2022,Female,31,Fine no high winds,January,12
2022,Female,31,Fine no high winds,February,3
2022,Female,31,Fine no high winds,March,16
2022,Female,31,Fine no high winds,April,14
2022,Female,31,Fine no high winds,May,12
2022,Female,31,Fine no high winds,June,11
2022,Female,31,Fine no high winds,July,10
2022,Female,31,Fine no high winds,August,13
2022,Female,31,Fine no high winds,September,9
2022,Female,31,Fine no high winds,October,6
2022,Female,31,Fine no high winds,November,7
2022,Female,31,Fine no high winds,December,10
2022,Female,31,Raining no high winds,January,1
2022,Female,31,Raining no high winds,February,1
2022,Female,31,Raining no high winds,March,2
2022,Female,31,Raining no high winds,May,1
2022,Female,31,Raining no high winds,June,1
2022,Female,31,Raining no high winds,July,1
2022,Female,31,Raining no high winds,August,1
2022,Female,31,Raining no high winds,October,1
2022,Female,31,Raining no high winds,November,1
2022,Female,31,Raining no high winds,December,1
2022,Female,31,Snowing no high winds,January,1
2022,Female,31,Fine + high winds,February,1
2022,Female,31,Fog or mist,November,1
2022,Female,32,Fine no high winds,January,9
2022,Female,32,Fine no high winds,February,4
2022,Female,32,Fine no high winds,March,9
2022,Female,32,Fine no high winds,April,9
2022,Female,32,Fine no high winds,May,14
2022,Female,32,Fine no high winds,June,12
2022,Female,32,Fine no high winds,July,7
2022,Female,32,Fine no high winds,August,11
2022,Female,32,Fine no high winds,September,15
2022,Female,32,Fine no high winds,October,7
2022,Female,32,Fine no high winds,November,8
2022,Female,32,Fine no high winds,December,6
2022,Female,32,Raining no high winds,January,2
2022,Female,32,Raining no high winds,April,1
2022,Female,32,Raining no high winds,May,3
2022,Female,32,Raining no high winds,June,1
2022,Female,32,Raining no high winds,September,1
2022,Female,32,Raining no high winds,October,4
2022,Female,32,Raining no high winds,November,1
2022,Female,32,Raining no high winds,December,4
2022,Female,32,Snowing no high winds,February,1
2022,Female,33,Fine no high winds,January,11
2022,Female,33,Fine no high winds,February,7
2022,Female,33,Fine no high winds,March,5
2022,Female,33,Fine no high winds,April,15
2022,Female,33,Fine no high winds,May,7
2022,Female,33,Fine no high winds,June,13
2022,Female,33,Fine no high winds,July,12
2022,Female,33,Fine no high winds,August,7
2022,Female,33,Fine no high winds,September,8
2022,Female,33,Fine no high winds,October,7
2022,Female,33,Fine no high winds,November,5
2022,Female,33,Fine no high winds,December,13
2022,Female,33,Raining no high winds,February,1
2022,Female,33,Raining no high winds,October,2
2022,Female,33,Raining no high winds,November,2
2022,Female,33,Raining no high winds,December,2
2022,Female,33,Snowing no high winds,December,1
2022,Female,33,Raining + high winds,February,1
2022,Female,33,Snowing + high winds,February,1
2022,Female,34,Fine no high winds,January,9
2022,Female,34,Fine no high winds,February,8
2022,Female,34,Fine no high winds,March,11
2022,Female,34,Fine no high winds,April,10
2022,Female,34,Fine no high winds,May,11
2022,Female,34,Fine no high winds,June,11
2022,Female,34,Fine no high winds,July,10
2022,Female,34,Fine no high winds,August,10
